GEO;LOC;DA;EJAFUNG1;EJAFUNG2;EJAFUNG3;EJAFUNG4;EJAFUNG5;EJAMED1;EJAMED2;EJAMED3;EJAMED4;EJAMED5
Brasil;Total;Total;27,0;0,5;44,6;2,4;25,5;56,1;1,1;36,1;3,1;3,6
Brasil;Urbana;Total;35,5;0,7;47,9;2,7;13,2;57,9;1,2;35,1;3,1;2,7
Brasil;Rural;Total;10,0;0,1;38,1;1,8;50,0;38,4;0,6;46,0;3,6;11,4
Brasil;Total;Federal;68,9;6,0;17,5;5,5;2,1;83,3;6,7;6,4;2,9;0,7
Brasil;Urbana;Federal;68,9;6,0;17,5;5,5;2,1;83,2;6,8;6,3;3,0;0,7
Brasil;Rural;Federal;34,0;0,4;47,9;2,1;7,8;83,7;6,4;6,6;2,3;1,0
Brasil;Total;Estadual;50,3;0,9;40,4;3,0;5,4;56,9;1,0;35,5;3,1;3,5
Brasil;Urbana;Estadual;54,2;1,0;39,1;3,0;2,7;59,0;1,0;34,3;3,1;2,6
Brasil;Rural;Estadual;31,8;0,5;46,5;3,0;18,2;38,1;0,5;46,5;3,4;11,5
Brasil;Total;Municipal;21,5;0,3;43,9;2,2;32,1;42,8;0,9;51,8;2,2;2,3
Brasil;Urbana;Municipal;30,9;0,5;48,5;2,6;17,5;43,6;0,8;51,8;2,1;1,7
Brasil;Rural;Municipal;7,7;0,1;37,2;1,6;53,4;28,8;1,6;50,3;2,5;16,8
Brasil;Total;Privada;27,2;1,2;61,0;2,7;7,9;45,9;2,0;43,7;3,4;5,0
Brasil;Urbana;Privada;27,2;1,2;61,1;2,7;7,8;46,2;2,1;43,7;3,2;4,8
Brasil;Rural;Privada;29,6;0,0;53,7;1,8;14,9;31,3;0,0;44,5;11,2;13,0
Brasil;Total;Pública;27,0;0,4;43,2;2,4;27,0;57,0;1,0;35,4;3,1;3,5
Brasil;Urbana;Pública;36,7;0,6;46,1;2,7;13,9;59,0;1,1;34,3;3,0;2,6
Brasil;Rural;Pública;9,9;0,1;38,0;1,8;50,2;38,6;0,6;46,0;3,4;11,4
Norte;Total;Total;29,8;0,3;47,5;3,5;18,9;59,2;0,7;34,2;3,3;2,6
Norte;Urbana;Total;41,2;0,4;49,1;4,2;5,1;63,1;0,7;31,6;2,9;1,7
Norte;Rural;Total;15,8;0,2;45,6;2,7;35,7;36,6;0,4;48,8;5,1;9,1
Norte;Total;Federal;34,0;0,4;47,9;2,1;7,8;85,3;7,8;5,7;0,8;0,4
Norte;Urbana;Federal;34,0;0,4;47,9;2,1;7,8;86,7;7,7;4,3;0,8;0,5
Norte;Rural;Federal;34,0;0,4;47,9;2,1;7,8;41,7;8,3;50,0;0,0;0,0
Norte;Total;Estadual;47,2;0,6;42,9;4,4;4,9;60,9;0,6;33,2;3,2;2,1
Norte;Urbana;Estadual;52,7;0,7;41,0;4,0;1,6;65,3;0,6;30,2;3,0;0,9
Norte;Rural;Estadual;29,9;0,4;48,8;5,8;15,1;37,1;0,4;49,3;4,7;8,5
Norte;Total;Municipal;26,8;0,2;47,4;3,2;22,4;29,9;0,0;40,2;11,0;18,9
Norte;Urbana;Municipal;41,6;0,4;50,0;4,2;3,8;23,8;0,0;53,6;11,9;10,7
Norte;Rural;Municipal;14,1;0,1;45,2;2,3;38,3;41,9;0,0;14,0;9,3;34,8
Norte;Total;Privada;15,8;0,1;60,7;4,9;18,5;44,8;0,7;43,8;3,5;7,2
Norte;Urbana;Privada;15,2;0,1;61,6;5,1;18,0;46,4;0,8;43,6;2,8;6,4
Norte;Rural;Privada;23,2;0,0;49,1;2,1;25,6;29,5;0,0;45,7;10,5;14,3
Norte;Total;Pública;30,9;0,3;46,5;3,4;18,9;61,1;0,7;32,9;3,2;2,1
Norte;Urbana;Pública;44,8;0,5;47,4;4,1;3,2;65,4;0,7;30,0;3,0;0,9
Norte;Rural;Pública;15,7;0,2;45,6;2,7;35,8;37,2;0,4;49,0;4,7;8,7
